External ID,Item Name,Item Description,Release Date,Expiry Date,Weight,Template ID,Enabled,EntityId,Classifications,Address,N/A,City,State,Zipcode,Country of domain purchase is made from,Link
4278474,BC Gurus Blog,"<p>The blog from BC Gurus with tutorials and BC templates.</p>
",21-Jan-2014,01-Jan-9999,,0,Y, -1,,,,,,,,http://www.bcgurus.com/blog
4278471,Business Catalyst Blog,"<p>The Official Business Catalyst Blog from Adobe.</p>
",21-Jan-2014,01-Jan-9999,,0,Y, -1,,,,,,,,http://businesscatalyst.com/bc-blog
4278472,TribeVita Blog,"<p>Business Catalyst Templates from TribeVita</p>
",21-Jan-2014,01-Jan-9999,,0,N, -1,,,,,,,,http://www.tribevita.com/blog
