External ID,Item Name,Item Description,Release Date,Expiry Date,Weight,Template ID,Enabled,EntityId,Classifications,Address,N/A,City,State,Zipcode,Country of domain purchase is made from,Photo,Author,Summary,Download
5174919,Case Studies,,10-Dec-2015,01-Jan-9999,,0,Y, -1,,,,,,,,http://placehold.it/220x125&text=Case+Studies,Karim Ardalan,"<p>Manage your case studies and success stories using the Case Studies web app. Upload a photo, add a PDF and more.</p>",
5174909,Home Page Slider,,10-Dec-2015,01-Jan-9999,,0,Y, -1,,,,,,,,http://placehold.it/220x125&text=Home+Page+Slider,Karim Ardalan,"<p>This is the most popular web app we’ve ever created. We use it on almost every website. It allows you to easily display a list of photos on the home page
    and slide from one to the next.</p>",
5174910,Job Postings,,10-Dec-2015,01-Jan-9999,,0,Y, -1,,,,,,,,http://placehold.it/220x125&text=Job+Postings,Karim Ardalan,<p>With the Job Postings web app you can easily publish job openings on your website and even allow visitors to apply and submit their resume.</p>,
5174912,Portfolio,,10-Dec-2015,01-Jan-9999,,0,Y, -1,,,,,,,,http://placehold.it/220x125&text=Portfolio,Karim Ardalan,<p>Using our Portfolio Web App you can easily display your latest work on your website. </p>,
5174914,Press Releases,,10-Dec-2015,01-Jan-9999,,0,Y, -1,,,,,,,,http://placehold.it/220x125&text=Press+Releases,Karim Ardalan,<p>Add a dynamic list of Press Releases to your website. You can even attach a PDF copy of each press release.</p>,
5174907,Store Locator,,10-Dec-2015,01-Jan-9999,,0,Y, -1,,,,,,,,http://placehold.it/220x125&text=Store+Locator,Karim Ardalan,"<p>Proximity search is a great feature of Business Catalyst. You can use this web app to display a list of closest locations. We’ve used this for Store Locators,
    Office Locations, Distributor Search and more.</p>",
5174663,Team Web App,"<p>
    <p>The Team Web App allows you to have a database of staff available on your website. You can add a photo, bio and even social media links for each person.
        The staff members can even be classified into Management, Personnel, etc.</p>
</p>",10-Dec-2015,01-Jan-9999,,0,Y, -1,,,,,,,,http://placehold.it/220x125&text=Team,Karim Ardalan,"<p>The Team Web App allows you to have a database of staff available on your website. You can add a photo, bio and even social media links for each person.
    The staff members can even be classified into Management, Personnel, etc.</p>",
5174894,Testimonials,,10-Dec-2015,01-Jan-9999,,0,Y, -1,,,,,,,,http://placehold.it/220x125&text=Testimonials,Karim Ardalan,<p>A useful web app for almost any website. You can store a list of testimonials and then rotate them throughout your website.</p>,
5174918,Video Gallery,,10-Dec-2015,01-Jan-9999,,0,Y, -1,,,,,,,,http://placehold.it/220x125&text=Video+Gallery,Karim Ardalan,<p>Using the Video Gallery web app you can easily add videos from YouTube or Vimeo and display them on your site. Videos can be classified and grouped</p>,
