External ID,Item Name,Item Description,Release Date,Expiry Date,Weight,Template ID,Enabled,EntityId,Classifications,Address,N/A,City,State,Zipcode,Country of domain purchase is made from,Photo
8104786,Business Catalyst to LightCMS,"<p>Are you looking to move your BC site to a new easy to manage CMS? Have you considered LightCMS? Let us give you a demo and help you with all your migration needs.</p>
",26-Mar-2018,01-Jan-9999,,0,N, -1,,,,,,,,/images/icons/lightcms-logo.png
5174698,Business Catalyst to Shopify,"<p>Are you looking to move your BC store to Shopify and it's modern e-commerce platform? We can help you get it done. We’ve migrated many Business Catalyst
    stores to Shopify and can you help you with all your migration needs.</p>
",10-Dec-2015,01-Jan-9999,,0,Y, -1,,,,,,,,http://placehold.it/220x125&text=BC to Shopify
8104741,Business Catalyst to Webflow,"<p>Webflow is an easy to use web-based platform that we love working with. You can design sites visually and create stunning custom responsive websites with ease. They also have a feature similar to BC’s WebApps but even more powerful and easy to use. The code Webflow generates is clean and they even provide a portal for you to manage all your project and client sites. If you choose, you can enable client billing and markup the hosting rates and brand the control panel with your own name and logo. Schedule a free consultation so we can show you the power of Webflow.</p>
",26-Mar-2018,01-Jan-9999,,0,Y, -1,,,,,,,,/images/icons/webflow-logo.png
8104742,Business Catalyst to Weebly Cloud,"<p> Are you looking for a replacement for BC? Weebly Cloud might be a good alternative for you. With Weebly you design the sites visually in your browser with
    an easy to use drag and drop interface. In addition you can manage all your client websites, set your pricing and more in the Weebly Cloud Portal.
    Let us give you a tour of Weebly Cloud and show you how this could be the platform your move your websites to. </p>
<p>See a <a href=""https://docs.google.com/spreadsheets/d/1GarQAUgBmJF3d99E8u5gsYRHvxVeFjeaiNrT5TKFENs/edit?usp=sharing"" target=""_blank"" title=""Business Catalyst vs. Weebly Cloud Feature Comparison"">feature by feature comparison of BC vs. Weebly Cloud</a>
</p>
<p><a href=""https://bc-partners.weebly.com"" target=""_blank"" title=""Weebly Cloud for BC Partners"">Learn more about Weebly Cloud</a>
</p>",26-Mar-2018,01-Jan-9999,,0,Y, -1,,,,,,,,/images/icons/weebly-cloud-logo.png
8752425,Business Catalyst to WordPress,"<p>WordPress is the most popular CMS platform on the market and for good reason. With an almost unlimited selection of WordPress themes and plugins and a large community of users, you can’t go wrong migrating your Business Catalyst website to WordPress<p>
<p>Utilizing the <a href=""https://www.bcexporter.com/"">BC Exporter framework</a>, AID+BC has migrated many sites from BC to WP and we can do the same for you. Our migration ssolution includes:<br />
    <ul>
        <li>Migrating pages, page templates and all your assets (images, css, js)</li>
<li>Migrating not just your Web App data, but your Web App Structure as well</li>
        <li>Migrating customers and mailing lists</li>
        <li>Migrating all your existing URLs and metadata</li>
</ul>
</p>
<p>Schedule a free consultation so we can get your site out of Business Catalyst and into WordPress.</p>",17-May-2019,01-Jan-9999,999999,0,Y, -1,,,,,,,,/images/icons/WordPress_logo-700x158.png
5174699,Magento to Business Catalyst Migration,"<p>Is Magento overly complicated for you to manage? Are you looking to migrate a Magento store into BC? We can help. We’ve migrated many magento stores to
    Business Catalyst.</p>
",10-Dec-2015,01-Jan-9999,,0,N, -1,,,,,,,,http://placehold.it/220x125&text=Magento to BC
5174700,WordPress to Business Catalyst Migration,"<p>Did your WordPress site get hacked? Are you looking to migrate a WordPress theme into BC? We can help. We’ve migrated many websites from WordPress to Business
    Catalyst.</p>
",10-Dec-2015,01-Jan-9999,,0,N, -1,,,,,,,,http://placehold.it/220x125&text=WordPress to BC
5174701,Yahoo! Store to Business Catalyst Migration,"    <p>Do you have an old Yahoo Store that is outdated and hard to work with? Are you spending hundreds of dollars each month for all the add-ons? We can
        help. We can migrate your old Yahoo Store to a brand new, responsive Business Catalyst store and save you thousands!</p>
",10-Dec-2015,01-Jan-9999,,0,N, -1,,,,,,,,http://placehold.it/220x125&text=Yahoo! to BC
